Head:  X: 0.3037422 ,Y: 0.2511215 ,Z: 2.098724
Shoulder Center:  X: 0.2219463 ,Y: -0.003385446 ,Z: 1.965261
Shoulder Left:  X: 0.1587045 ,Y: 0.008406417 ,Z: 1.935364
Shoulder Right:  X: 0.307829 ,Y: 0.04424203 ,Z: 2.217612
Spine:  X: 0.1762694 ,Y: -0.2313494 ,Z: 1.867371
Hip Center:  X: 0.1999902 ,Y: -0.2696832 ,Z: 1.832176
Hip Left:  X: 0.1372409 ,Y: -0.2844433 ,Z: 1.768136
Hip Right:  X: 0.2476924 ,Y: -0.4135723 ,Z: 1.810357
Elbow Left:  X: 0.3325921 ,Y: -0.09541731 ,Z: 1.843451
Wrist Left:  X: 0.5913169 ,Y: -0.1667703 ,Z: 1.92185
Hand Left:  X: 0.700929 ,Y: -0.1761448 ,Z: 1.95258
Elbow Right:  X: 0.423464 ,Y: -0.1705863 ,Z: 2.165377
Wrist Right:  X: 0.6170973 ,Y: -0.1804743 ,Z: 2.005957
Hand Right:  X: 0.6908804 ,Y: -0.1714137 ,Z: 1.947015
--------------------------------------
Head:  X: 0.2960081 ,Y: 0.255994 ,Z: 2.094687
Shoulder Center:  X: 0.2204009 ,Y: -0.006630841 ,Z: 1.963832
Shoulder Left:  X: 0.1581574 ,Y: 0.008602967 ,Z: 1.936123
Shoulder Right:  X: 0.3062836 ,Y: 0.0409966 ,Z: 2.216184
Spine:  X: 0.1728422 ,Y: -0.239327 ,Z: 1.866946
Hip Center:  X: 0.1966905 ,Y: -0.2790883 ,Z: 1.83204
Hip Left:  X: 0.1335344 ,Y: -0.2949322 ,Z: 1.773165
Hip Right:  X: 0.247628 ,Y: -0.417459 ,Z: 1.810225
Elbow Left:  X: 0.3309368 ,Y: -0.09570822 ,Z: 1.842431
Wrist Left:  X: 0.5938447 ,Y: -0.169624 ,Z: 1.909935
Hand Left:  X: 0.675881 ,Y: -0.1706088 ,Z: 1.933818
Elbow Right:  X: 0.4276392 ,Y: -0.1705337 ,Z: 2.162326
Wrist Right:  X: 0.6404647 ,Y: -0.1589253 ,Z: 1.962336
Hand Right:  X: 0.6907632 ,Y: -0.1701395 ,Z: 1.940737
--------------------------------------
Head:  X: 0.2916704 ,Y: 0.2658499 ,Z: 2.086922
Shoulder Center:  X: 0.2168265 ,Y: -0.004024344 ,Z: 1.96041
Shoulder Left:  X: 0.154482 ,Y: 0.009094189 ,Z: 1.931314
Shoulder Right:  X: 0.3027091 ,Y: 0.0436031 ,Z: 2.212761
Spine:  X: 0.1725272 ,Y: -0.2376977 ,Z: 1.866227
Hip Center:  X: 0.1970566 ,Y: -0.277762 ,Z: 1.831761
Hip Left:  X: 0.1349619 ,Y: -0.2948436 ,Z: 1.770852
Hip Right:  X: 0.2488905 ,Y: -0.4197367 ,Z: 1.812502
Elbow Left:  X: 0.3347586 ,Y: -0.09971429 ,Z: 1.836199
Wrist Left:  X: 0.5651484 ,Y: -0.1493997 ,Z: 1.891515
Hand Left:  X: 0.6467718 ,Y: -0.1564058 ,Z: 1.917661
Elbow Right:  X: 0.4306928 ,Y: -0.1661548 ,Z: 2.158808
Wrist Right:  X: 0.6574251 ,Y: -0.1938489 ,Z: 2.106547
Hand Right:  X: 0.6925008 ,Y: -0.1581242 ,Z: 1.939765
--------------------------------------
Head:  X: 0.2870988 ,Y: 0.272516 ,Z: 2.082306
Shoulder Center:  X: 0.2138379 ,Y: -0.0026147 ,Z: 1.958955
Shoulder Left:  X: 0.1503282 ,Y: 0.008801328 ,Z: 1.928696
Shoulder Right:  X: 0.2997206 ,Y: 0.04501275 ,Z: 2.211307
Spine:  X: 0.1712583 ,Y: -0.2401806 ,Z: 1.865125
Hip Center:  X: 0.1960355 ,Y: -0.2807289 ,Z: 1.83066
Hip Left:  X: 0.134826 ,Y: -0.2957386 ,Z: 1.774981
Hip Right:  X: 0.2490071 ,Y: -0.4190672 ,Z: 1.809574
Elbow Left:  X: 0.3341177 ,Y: -0.1006029 ,Z: 1.831566
Wrist Left:  X: 0.5639639 ,Y: -0.1432156 ,Z: 1.886029
Hand Left:  X: 0.6484447 ,Y: -0.1459933 ,Z: 1.903916
Elbow Right:  X: 0.4352617 ,Y: -0.1598547 ,Z: 2.15337
Wrist Right:  X: 0.621069 ,Y: -0.1600996 ,Z: 1.979185
Hand Right:  X: 0.6911408 ,Y: -0.1469035 ,Z: 1.917407
--------------------------------------
